Plot ID	Sp Code	TreeGirth1	TreeGirth2	TreeGirth3	TreeGirth4	TreeGirth5
BSP31	NA	16	0	0	0	0
BSP31	NA	42	0	0	0	0
BSP31	NA	49	0	0	0	0
BSP31	NA	53	0	0	0	0
BSP31	NA	54	0	0	0	0
BSP36	NA	12	0	0	0	0
BSP36	NA	20	0	0	0	0
BSP36	NA	153	0	0	0	0
BSP37	NA	11	0	0	0	0
BSP37	NA	12	0	0	0	0
BSP37	NA	12	0	0	0	0
BSP37	NA	13	0	0	0	0
BSP37	NA	14	0	0	0	0
BSP37	NA	14	0	0	0	0
BSP37	NA	16	0	0	0	0
BSP37	NA	17	0	0	0	0
BSP37	NA	18	0	0	0	0
BSP37	NA	18	0	0	0	0
BSP37	NA	19	0	0	0	0
BSP37	NA	20	0	0	0	0
BSP37	NA	20	0	0	0	0
BSP37	NA	22	0	0	0	0
BSP37	NA	22	0	0	0	0
BSP37	NA	22	0	0	0	0
BSP37	NA	23	0	0	0	0
BSP37	NA	29	0	0	0	0
BSP37	NA	38	0	0	0	0
BSP41	NA	13	0	0	0	0
BSP41	NA	15	0	0	0	0
BSP42	NA	10	0	0	0	0
BSP42	NA	18	0	0	0	0
BSP42	NA	30	0	0	0	0
BSP43	NA	78	0	0	0	0
BSP5	NA	22	0	0	0	0
BSP57	NA	174	0	0	0	0
BSP58	NA	165	0	0	0	0
BSP59	NA	15	0	0	0	0
BSP59	NA	15	0	0	0	0
BSP59	NA	20	0	0	0	0
BSP59	NA	20	0	0	0	0
BSP59	NA	25	0	0	0	0
BSP59	NA	35	0	0	0	0
BSP59	NA	40	0	0	0	0
BSP59	NA	48	0	0	0	0
BSP59	NA	71	0	0	0	0
BSP59	NA	72	0	0	0	0
BSP59	NA	125	0	0	0	0
BSP6	NA	12	0	0	0	0
BSP6	NA	12	0	0	0	0
BSP6	NA	13	0	0	0	0
BSP6	NA	14	0	0	0	0
BSP6	NA	17	0	0	0	0
BSP6	NA	18	0	0	0	0
BSP6	NA	28	0	0	0	0
BSP73	NA	16	0	0	0	0
BSP80	NA	69	0	0	0	0
BSP84	NA	15	0	0	0	0
BSP84	NA	16	0	0	0	0
BSP84	NA	21	0	0	0	0
BSP84	NA	24	0	0	0	0
BSP84	NA	39	0	0	0	0
BSP84	NA	49	0	0	0	0
BSP84	NA	50	0	0	0	0
BSP84	NA	61	0	0	0	0
BSP84	NA	67	0	0	0	0
BSP89	NA	21	0	0	0	0
BSP89	NA	24	0	0	0	0
BSP89	NA	24	0	0	0	0
BSP89	NA	26	0	0	0	0
BSP89	NA	28	0	0	0	0
BSP89	NA	30	0	0	0	0
BSP89	NA	32	0	0	0	0
BSP89	NA	33	0	0	0	0
BSP89	NA	33	0	0	0	0
BSP89	NA	33	0	0	0	0
BSP89	NA	34	0	0	0	0
BSP89	NA	39	0	0	0	0
BSP89	NA	39	0	0	0	0
BSP89	NA	39	0	0	0	0
BSP89	NA	40	0	0	0	0
BSP89	NA	43	0	0	0	0
BSP89	NA	43	0	0	0	0
BSP89	NA	47	0	0	0	0
BSP89	NA	74	0	0	0	0
BSP9	NA	12	0	0	0	0
BSP94	NA	58	0	0	0	0
BSP98	NA	15	0	0	0	0
BSP65	Actibour	15	0	0	0	0
BSP65	NA	15	0	0	0	0
BSP65	NA	15	0	0	0	0
BSP65	NA	15	0	0	0	0
BSP65	NA	15	0	0	0	0
BSP65	NA	15	0	0	0	0
BSP65	NA	16	0	0	0	0
BSP65	NA	16	0	0	0	0
BSP65	NA	16	0	0	0	0
BSP65	NA	16	0	0	0	0
BSP65	NA	17	0	0	0	0
BSP65	NA	17	0	0	0	0
BSP65	NA	17	0	0	0	0
BSP65	NA	17	0	0	0	0
BSP65	NA	18	0	0	0	0
BSP65	NA	18	0	0	0	0
BSP65	NA	18	0	0	0	0
BSP65	NA	18	0	0	0	0
BSP65	NA	18	0	0	0	0
BSP65	NA	18	0	0	0	0
BSP65	NA	18	0	0	0	0
BSP65	NA	18	0	0	0	0
BSP65	NA	18	0	0	0	0
BSP65	NA	19	0	0	0	0
BSP65	NA	19	0	0	0	0
BSP65	NA	19	0	0	0	0
BSP65	NA	20	0	0	0	0
BSP65	NA	20	0	0	0	0
BSP65	NA	20	0	0	0	0
BSP65	NA	20	0	0	0	0
BSP65	NA	20	0	0	0	0
BSP65	NA	20	0	0	0	0
BSP65	NA	20	0	0	0	0
BSP65	NA	20	0	0	0	0
BSP65	NA	20	0	0	0	0
BSP65	NA	20	0	0	0	0
BSP65	NA	20	0	0	0	0
BSP65	NA	20	0	0	0	0
BSP65	NA	20	0	0	0	0
BSP65	NA	20	0	0	0	0
BSP65	NA	21	0	0	0	0
BSP65	NA	21	0	0	0	0
BSP65	NA	21	0	0	0	0
BSP65	NA	21	0	0	0	0
BSP65	NA	21	0	0	0	0
BSP65	NA	21	0	0	0	0
BSP65	NA	21	0	0	0	0
BSP65	NA	22	0	0	0	0
BSP65	NA	22	0	0	0	0
BSP65	NA	22	0	0	0	0
BSP65	NA	22	0	0	0	0
BSP65	NA	22	0	0	0	0
BSP65	NA	22	0	0	0	0
BSP65	NA	22	0	0	0	0
BSP65	NA	23	0	0	0	0
