RecordID,RodentSurveyID,RodentSpeciesID,Weight,Recapture
218,19,115,40.8,0
219,19,112,12.7,0
220,19,115,NA,1
221,20,112,NA,1
222,20,112,14.6,0
223,20,112,18.8,0
224,20,112,16.2,0
225,20,112,NA,1
226,20,115,46.2,0
227,20,112,13.8,0
228,20,112,13.3,0
229,20,120,18.3,0
230,20,112,29.6,0
231,20,112,9.7,0
232,20,112,18.8,0
233,20,112,14.8,0
234,20,112,12.9,0
235,20,112,20.1,0
236,20,112,NA,1
237,20,112,12.2,0
238,20,112,32.5,0
239,20,112,17.8,0
240,20,112,16.7,0
241,20,112,NA,1
242,20,112,18.4,0
243,20,112,15.2,0
244,20,112,14.2,0
245,20,112,NA,1
246,20,112,NA,1
247,20,112,NA,1
248,20,119,12.3,0
249,20,115,42.2,0
250,20,115,34.9,0
251,20,115,42.9,0
252,20,112,15.1,0
253,20,112,NA,1
254,20,119,13.3,0
255,20,115,29.3,0
256,20,115,27.2,0
257,20,112,NA,1
258,20,112,19.8,0
259,21,112,17.7,0
260,21,112,14.8,0
261,21,112,10.8,0
262,21,115,23.7,0
263,21,119,10.8,0
264,21,120,15,0
265,21,112,15.5,0
266,21,115,43.8,0
267,21,112,15,0
268,21,119,11.8,0
269,21,112,15.3,0
270,21,119,12.1,0
271,21,115,33.5,0
272,21,112,18.7,0
273,21,112,19.3,0
274,21,112,16.2,0
275,21,112,13.6,0
276,21,112,16.8,0
277,21,112,15.5,0
278,21,112,11.8,0
279,21,115,19.3,0
280,21,112,17,0
281,21,112,15.9,0
282,21,115,50.9,0
283,21,119,11.9,0
284,21,119,13.1,0
285,21,112,20.4,0
286,21,115,37,0
287,21,115,39.1,0
288,21,115,46.8,0
289,21,120,24.8,0
290,21,112,12.2,0
291,21,115,39.5,0
292,21,112,15.9,0
293,21,112,8.2,0
294,21,112,15.7,0
295,22,112,15.8,0
296,22,112,12.2,0
297,22,112,11.8,0
298,22,115,47.2,0
299,22,112,10,0
300,22,112,18.2,0
301,22,112,14.2,0
302,22,112,11.4,0
303,22,112,16.2,0
304,22,112,10.4,0
305,22,115,39.4,0
306,22,112,16.8,0
307,22,112,17.2,0
308,22,115,47,0
309,22,112,14.4,0
310,22,119,8.4,0
311,22,112,11.4,0
312,22,112,14.4,0
313,22,119,9.2,0
314,22,119,12.2,0
315,22,112,17,0
316,22,119,10.6,0
317,22,115,30,0
318,22,112,16.2,0
319,22,112,16.2,0
320,22,115,39,0
321,22,112,12.3,0
322,22,112,17,0
323,22,115,39.1,0
324,22,119,11,0
325,22,115,40.1,0
326,22,115,28.2,0
327,22,112,14.2,0
328,22,112,12.8,0
329,22,115,31.7,0
330,22,112,13.1,0
331,21,112,NA,1
332,21,119,NA,1
333,21,115,NA,1
334,21,112,NA,1
335,21,112,15.2,0
336,21,119,10.7,0
337,21,119,NA,1
338,21,112,15.8,0
339,21,112,NA,1
340,21,112,NA,1
341,21,115,NA,1
342,21,115,34.3,0
343,21,112,16.7,0
344,21,112,NA,1
345,21,112,NA,1
346,21,112,14.6,0
347,21,112,NA,1
348,21,112,NA,1
349,21,NA,NA,1
350,21,115,34.5,0
351,21,115,NA,1
352,21,112,9.8,0
353,21,NA,NA,1
354,21,112,NA,1
355,21,112,NA,1
356,21,115,46.8,0
357,21,112,18.4,0
358,21,119,10.5,0
359,21,119,NA,1
360,21,112,10.4,0
361,21,112,13,0
362,21,112,NA,1
363,21,112,12.5,0
364,21,119,10.3,0
365,21,115,43.6,0
366,21,112,NA,1
367,22,112,15.8,0
368,22,112,18.5,0
369,22,115,44.4,0
370,22,115,43.5,0
371,22,119,10.2,0
372,22,115,27.3,0
373,22,112,NA,1
374,22,112,NA,1
375,22,112,NA,1
376,22,112,NA,1
377,22,115,33.3,0
378,22,112,16.8,0
379,22,112,NA,1
380,22,119,NA,1
381,22,119,10.2,0
382,18,112,NA,1
383,18,110,37.9,0
384,18,117,122.2,0
385,18,110,28.6,0
386,18,112,17.4,0
387,18,117,149,0
388,18,112,21.6,0
389,18,NA,NA,1
390,18,112,17.2,0
391,18,110,44.8,0
392,18,110,25.2,0
393,18,110,23.8,0
394,18,117,99.4,0
395,18,112,NA,1
396,18,112,NA,1
397,18,110,NA,1
398,18,110,23.4,0
399,23,112,16.2,0
400,23,112,22.2,0
401,23,112,14.3,0
402,23,112,14.6,0
403,23,112,13.5,0
404,23,112,18.8,0
405,23,112,26.2,0
406,23,112,19.5,0
407,23,112,21.4,0
408,23,112,25.8,0
409,23,112,12,0
410,23,112,21.8,0
411,23,112,18.3,0
412,23,112,10.8,0
413,23,112,22.2,0
414,23,112,16,0
415,23,112,16.4,0
416,23,112,17.2,0
417,23,112,10.4,0
